SMILES,property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
Cc1cccc(COc2ccc(C=C3C(=O)NC(=S)NC3=O)cc2)c1,0,0,0,0,0,0,0
CC(O)(CNC(=O)NCc1ccc(F)cc1)c1ccc(-c2ccccc2)cc1,0,0,0,0,0,0,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,1,0,0,0,0,0,1
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,1,0,0,0,0,0,0
COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC,0,0,0,0,0,0,0
CN1C(=O)NC(=O)C(=Cc2ccc([N+](=O)[O-])o2)C1=O,0,0,0,0,0,0,0
C=C1CCC(OC(C)=O)C(C)=CCC2C1CC2(C)C,0,1,0,1,1,1,0
O=Cc1ccc(O)c(O)c1,0,0,0,0,0,0,0
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0,0,0,0,0,0,0
Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,0,0,0,0,0,0,0
CCOC(=O)Cc1cc(OC)c(OC)cc1C(C)=NNc1ccccc1,0,0,0,0,0,1,0
Cc1cc(C)nc(NC#N)n1,0,0,0,0,0,0,0
N#Cc1cc(N2CCC(C(=O)N3N=CCC3c3cc(F)cc(F)c3)CC2)ncn1,0,0,0,0,0,0,0
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O,0,0,0,0,0,0,0
CCCCSc1nnc2c(n1)OC(c1cccc(F)c1)Nc1ccc(Br)cc1-2,0,0,0,0,0,0,0
CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,1,0,1,0,0,0,1
CN(C)CCOC(=O)COc1ccc(Cl)cc1.Cl,0,0,0,0,0,0,0
Cc1cn[nH]c1,0,0,0,0,0,0,0
CNC(C)CCC=C(C)C.CNC(C)CCC=C(C)C,0,0,0,0,0,0,0
CC(=O)Nc1ccc(C(=O)Nc2ccccc2)c(NC(C)=O)c1,0,0,0,0,1,0,0
CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,0,0,0,0,0,0,0
Cc1cc(C)nc(SCCCCSc2nc(C)cc(C)n2)n1,0,0,0,0,0,0,0
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1,0,0,0,0,0,1
O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,0,0,0,0,0,0,0
O=C(COC(=O)c1ccc2ccccc2n1)c1ccc(Br)cc1,0,0,0,0,0,0,0
COC(=O)CNC(c1ccccc1)c1cc(Br)ccc1NC(=O)c1ccccc1Cl,0,0,0,0,0,0,0
O=C(NCC1CCCO1)c1[nH]nnc1-c1ccc(F)cc1,0,0,0,0,0,0,0
O=C1NC(=O)C(=CNc2cccc(O)c2)C(=O)N1,0,0,0,0,0,1,0
N#Cc1c(Oc2ccc(F)c(NC(=O)Cc3cccc(C(F)(F)F)c3)c2)ccc2nc(NC(=O)C3CC3)sc12,0,0,1,0,0,0,0
C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1C,0,1,0,1,0,0,0
Cc1nnc(NN=Cc2ccc(Cl)c([N+](=O)[O-])c2)[nH]c1=O,0,0,0,0,0,0,0
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1.Cl.Cl,0,0,0,0,0,0,0
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0,0,1,0,0,0,1
CCOc1ccc(C=C2SC(=S)N(C)C2=O)cc1,0,0,0,0,0,0,0
COc1ccccc1OCC(O)COC(N)=O,0,0,0,1,1,0,0
O=S(=O)(c1ccc(F)cc1)N1CCC(c2nc3ccccc3[nH]2)CC1,0,0,0,0,0,0,0
NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,0,0,0,1,0,0,0
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,0,0,0,0,0,0,0
O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,0,0,1,0,0,0,1
CCN1C(C)=C(C(=O)OC)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)OC)=C1C,0,0,0,0,0,0,0
CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,0,0,1,0,1,0,0
COCCN1C(=O)CN(C2CCN(CC(=O)N3CC(C)OC(C)C3)CC2)C1=O,0,0,0,0,0,0,0
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,1,0,1,1,0,0,1
COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)C2,1,0,0,1,0,0,0
Clc1cccc(C=Cc2nn3c(Cc4ccccc4)nnc3s2)c1,0,0,0,0,0,0,0
COCCN1CCC(NC(=O)c2cccc3ccccc23)CC1,0,0,0,0,0,0,0
Cc1ccc(S(=O)(=O)n2cnc3ccccc32)cc1C,1,0,0,0,0,0,0
COc1ccc(C=C2C(=O)N(c3ccc(C(=O)O)cc3)N=C2C)cc1,0,0,0,0,0,0,0
CC(C)Sc1ccc(CC(=O)N2CCC(S(C)(=O)=O)C2)cc1,0,0,0,0,0,0,0
CN1CCC(Nc2nc(Nc3ccc(Oc4ccccc4)cc3)c3c(=O)[nH]cc(Br)c3n2)CC1,0,0,0,0,0,0,0
CN(C)CCC=C1c2ccccc2COc2ccccc21.Cl,0,0,0,0,0,1,0
COc1cc(C=Nc2ccc3oc(-c4ccc(C(C)(C)C)cc4)nc3c2)ccc1OC(=O)c1ccc(Cl)cc1Cl,0,0,0,0,0,0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0,0,0,0,0,0,0
Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,0,0,0,0,0,0,0
C#CCOc1ccc(C=C2C(=O)NC(=O)N(c3cc(OC)c(Cl)cc3OC)C2=O)cc1Cl,0,0,0,0,0,0,0
O=C(CCn1c(=O)oc2ccccc21)Nc1ccccc1,0,0,0,0,0,0,0
CCC(=O)N1c2ccccc2NC2=C(C(=O)CC(c3ccccc3Cl)C2)C1c1ccc(C)cc1,0,0,0,0,0,0,0
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,0,0,0,0,0,0,0
Fc1ccc(Nc2nc(NN=Cc3ccccc3Cl)nc(N3CCCCC3)n2)cc1,0,0,0,0,0,0,0
O=[N+]([O-])c1ccc(N2CCOCC2)c(-c2nnn[nH]2)c1,0,0,0,0,0,0,0
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,0,0,0,0,0,1,0
CC(C)NCC(C(=O)N1CCN(c2ncnc3c2C(C)CC3O)CC1)c1ccc(Cl)cc1,0,0,0,0,0,0,0
CC(=O)Oc1ccccc1C(=O)O,0,0,0,0,0,0,0
COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1,0,0,1,0,1,0,1
