depth,width,dropout,mlp,rmlp
4,100,0.6,-0.0025574607241660597,0.04798268912611764
4,250,0.6,0.006112281903788371,0.04971270672887816
4,400,0.6,0.00733355046128029,0.049562683320232344
4,550,0.6,0.015990313592734184,0.05131181875058048
4,700,0.6,0.020668225294778287,0.047956107620263366
4,850,0.6,0.02026984909750692,0.049678706239160486
5,100,0.2,0.04177238967373839,0.04989847168941085
5,250,0.2,0.039916657971807115,0.04504658671073202
5,400,0.2,0.040232492735780036,0.0433348887597626
5,550,0.2,0.04127067807205398,0.04200228348822184
5,700,0.2,0.04532385792690676,0.04317047643577686
5,850,0.2,0.044718294666616955,0.03801850976852538
5,100,0.3,0.02798622239955733,0.04957718606697212
5,250,0.3,0.03650167601366354,0.04524546879573944
5,400,0.3,0.042298308344871235,0.04220714764662969
5,550,0.3,0.03890399357488046,0.045375199783173586
5,700,0.3,0.04608865220679261,0.042595490331973566
5,850,0.3,0.04459629631061403,0.04594654331359205
5,100,0.4,0.019357496500350683,0.051299872530273516
5,250,0.4,0.03578128777432127,0.04605749072084735
5,400,0.4,0.03669154977711883,0.047043501191197754
5,550,0.4,0.03553583717744401,0.045948640295018155
5,700,0.4,0.03753221154668854,0.04733968361678482
5,850,0.4,0.037258783941031125,0.046910318945635
5,100,0.5,-0.0021784388998718606,0.05235164200867664
5,250,0.5,-0.0022524580397041217,0.04879039116078118
5,400,0.5,0.02452208081634457,0.04693794311365422
5,550,0.5,0.03876749346437931,0.046979006296604384
5,700,0.5,0.03678834562780107,0.04675680681495585
5,850,0.5,0.03470254887848632,0.04565100893432198
5,100,0.6,-0.0025419932013105717,0.050429793741199706
5,250,0.6,-0.0024394460292902886,0.0508825650418515
5,400,0.6,0.005932912811596144,0.05035358095648421
5,550,0.6,0.006011523330720653,0.04993850698173621
5,700,0.6,0.026078643984097906,0.04872189119442148
5,850,0.6,0.007668087159109497,0.048080835664258886
