depth,width,dropout,mlp,vmlp
2,350,0.6,0.053253024816513,0.0595378577709198
2,400,0.6,0.0564313828945159,0.0604855269193649
2,450,0.6,0.0535347312688827,0.0573691427707672
2,500,0.6,0.0539907366037368,0.053953006863594
2,50,0.7,0.0284203737974166,0.0039082765579223
2,100,0.7,0.0520016103982925,0.0489393472671508
2,150,0.7,0.0594560205936431,0.0679896473884582
2,200,0.7,0.0574846267700195,0.0655807256698608
2,250,0.7,0.0554385185241699,0.0634109377861023
2,300,0.7,0.0579978078603744,0.0653698742389679
2,350,0.7,0.0568272769451141,0.0647202730178833
2,400,0.7,0.0603233873844146,0.0631436854600906
2,450,0.7,0.0504770427942276,0.0631059855222702
2,500,0.7,0.0500970184803009,0.0628803074359893
2,50,0.8,0.002954751253128,0.0024667233228683
2,100,0.8,0.0156019330024719,0.0048885345458984
2,150,0.8,0.0271619260311126,0.0234409421682357
2,200,0.8,0.0445887744426727,0.0539535880088806
2,250,0.8,0.0468318313360214,0.0657858699560165
2,300,0.8,0.0620132535696029,0.0651195049285888
2,350,0.8,0.0642800480127334,0.0663166940212249
2,400,0.8,0.0551314204931259,0.0713934600353241
2,450,0.8,0.0562727153301239,0.070435956120491
2,500,0.8,0.0588041543960571,0.0691584199666976
3,50,0.1,0.0420988500118255,0.0455621182918548
3,100,0.1,0.0336084067821502,0.0425554066896438
3,150,0.1,0.0467053353786468,0.0382767766714096
3,200,0.1,0.0378448665142059,0.0412803888320922
3,250,0.1,0.0414681434631347,0.0319771319627761
3,300,0.1,0.0365030020475387,0.0356421768665313
3,350,0.1,0.0465672463178634,0.0364852398633956
3,400,0.1,0.0345051437616348,0.0379802584648132
3,450,0.1,0.0410205423831939,0.0365482866764068
3,500,0.1,0.0404223650693893,0.0384066253900527
3,50,0.2,0.03223817050457,0.0470517873764038
3,100,0.2,0.0326722860336303,0.0477146059274673
3,150,0.2,0.0469215661287307,0.0492352694272995
3,200,0.2,0.037408098578453,0.0382213592529296
3,250,0.2,0.0397295951843261,0.0404510051012039
3,300,0.2,0.041345790028572,0.0415444672107696
