SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Lum,MPLA Abs,MPLA Lum,CpG Abs,cGAMP Abs,cGAMP Lum,LMCpG Abs,LMcGAMP Lum
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,-2.439942296203375,-1.6556324186005027,1.6425713217385964,0.8881120697479872,1.9415318508800903,0.04816840502212936,2.653860395185108,0.18453231592094796,0.30369054447197674,2.5920204089109107,0.557058588531034
c1ccc(CNc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.7143450413273145,0.49261544863850987,-0.3367705854906943,0.028998619730904042,-0.24645777935458194,0.36136311778894775,-0.2723949187554385,-0.4848371683915712,-0.47331796889647215,-0.3729057968780284,0.004960572303917497
Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,-2.5841640133641857,-0.7354067972390957,-1.1050562558405068,1.3157827168703848,-0.899110899676396,2.0260333323538364,-1.3534257283455773,-1.1153135258885087,-0.8075389278353317,-1.4278991168967816,1.2425958340646486
O=C1Nc2ccccc2/C1=C1\Nc2ccccc2C1=O,-0.5947024551387718,-1.3883955959898884,0.09849448554228919,-0.5959029609508512,-0.051839645051490475,-0.46076378740660767,0.04983887309141375,0.015188244973392204,0.30831062433800394,0.05039086646442959,-0.3806799538137914
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,-1.1009408040606583,-0.5990440731391133,-0.7924639589285728,0.5547768161719877,-0.04671993024469618,0.8775403462697899,0.506041131541046,-0.21097226553013393,0.6382747921007405,-0.24936460440325378,0.8842661429318491
Cc1cccc2sc(NC(=O)c3cccn(Cc4ccc(Br)cc4)c3=O)nc12,0.763984755423535,0.7875083023389331,0.12058607343128398,0.6953302006715805,-0.13013280301505842,-0.0159619903460071,0.3829159093574034,-0.09980559110037178,0.621648075637768,0.15475664032013736,0.5496104407890426
O=C(O)c1ccc(/C=C2/SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,-2.228574221999327,-2.0023022894024023,-1.03757858206714,0.5151240566029816,-0.7976043141392838,0.17802423872766662,-1.2037464583793165,-0.14269907689542408,-0.04897924633253639,-1.2980577546548575,0.30916724607120266
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.Cl,0.7002729557556219,0.8426240432229866,-0.1806226219049978,0.4097086818996028,0.012627190605594165,0.6782516904181277,-0.5615475225575804,-0.3974542022526412,0.36730101281864175,-0.29750480719887784,0.6292084284154745
CC(=O)c1ccc(NC(=O)CSc2ccc(-c3ccc4c(c3)OCO4)nn2)cc1,0.6034894301601853,0.6009650008074886,-0.09670325171502106,-0.16735521555097027,-0.26817419995271496,-0.30778181070694116,-0.4027285467493732,-0.17688927800321777,0.28881106708787585,-0.3026936547619379,-0.11371207694844736
Cc1ccc(CSc2nc3sc4c(c3c(=O)n2-c2ccccc2)CC(C)(C)OC4)c(C)c1,0.9039842845310293,1.059486746874772,-0.04948371062549159,0.9389672773275239,-0.5111702334635086,-0.09003541239998211,0.09316997264617267,-0.11989250609757887,0.6401602589904656,-0.1883890554210609,0.6405408827610592
Nc1ccc(O)c(C(=O)O)c1,-0.18517268628458172,-0.7485595970097848,-0.3705702783312208,-0.2414409565543581,0.05271484713396658,-0.45274118303593663,0.1637399223920337,0.4684164717036922,0.5693150623733577,-0.1148052837523205,-0.11332386776415032
COC(=O)c1cc(O)c(O)c(O)c1,-1.6638594098484725,-1.2687045782739226,-0.23478763306312292,-0.7618062303205861,-0.09417363983110509,0.5195256211387848,-0.6698450999270192,-0.462853700080091,-2.2481301161705676,-0.4070999438000479,-0.9398743335177313
