Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1491,Primary,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,94.19586,91.33516,1.102933049,0.146488816,0.921913266,0.13483651,0.8441405890000001,0.219367191,0.7334012990000001,0.262446105,1.03198123,0.073113821,1.288120508,0.206031501,1.011344671,0.0918996109999999,0.9930182893333334,0.1580364604783047,0.8888864120000001,0.1784230748909292
S1504,Primary,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,96.72605,89.86028,1.2039351459999998,0.159700289,0.94808495,0.1000946309999999,1.017046928,0.416785449,0.462657571,0.023279671,1.148973346,0.082017936,1.178236008,0.1871285589999999,0.429784715,0.215356201,1.1233184733333337,0.262005874381037,0.6135090786666667,0.137766918556968
S1512,Primary,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,96.81817,93.46659,1.170818567,0.161402658,0.5793412920000001,0.055244252,0.983743846,0.263472646,0.612647235,0.106626771,1.184180021,0.068662763,1.203446865,0.1833300289999999,0.8877750640000001,0.0364339839999999,1.1129141446666666,0.1827413730043094,0.6932545303333333,0.072453734348291
S1523,Primary,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,75.30744,83.4855,2.083274603,0.275743991,0.957550645,0.1032632959999999,0.962522745,0.274185807,0.756103277,0.237754598,1.0432748790000002,0.049241472,1.168700457,0.202235043,1.012954712,0.051927943,1.3630240756666667,0.2263016629026958,0.9088695446666666,0.1526292549886122
S1528,Primary,CC1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,92.14249,90.59816,1.101797223,0.153033555,0.805491805,0.0609463159999999,0.8822401759999999,0.183811843,0.716911435,0.153954729,0.911133766,0.048001364,1.086799383,0.165607452,0.822656512,0.038129885,0.965057055,0.1408429308708287,0.781686584,0.0980992696974999
S1530,Primary,CNC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1cccc(CN(C)C)c1)c1ccccc1,96.05243,93.93179,1.032591581,0.1511086519999999,0.710116148,0.112089887,1.132940292,0.110536754,0.71413821,0.023704991,0.19690834,0.008319183,1.041864157,0.158542827,0.442850113,0.016849926,0.787480071,0.1081995186371009,0.622368157,0.0668580321083122
S1531,Primary,CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,96.9805,90.46301,1.885049582,0.266562939,0.823234737,0.043184955,1.399546385,0.174108535,0.786379814,0.025998536,0.400532514,0.018864647,1.325918913,0.294178188,0.680701494,0.083848439,1.2283761603333334,0.1841425691455749,0.7634386816666666,0.0564842896601407
S1537,Primary,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,95.20363,92.5265,1.977252126,0.266522914,6.077999592,0.723607063,0.963987589,0.1246600819999999,0.964592338,0.054049302,1.089713097,0.062837049,1.132496238,0.1710530069999999,1.084591508,0.049411699,1.3436509373333332,0.1737076993671903,2.709061146,0.4199087300308008
S1538,Primary,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,93.74071,91.7701,1.302635312,0.171912178,1.047913551,0.056516614,1.024099112,0.062579975,1.072775126,0.0643749159999999,0.886680007,0.063339703,1.117332816,0.171213403,1.070410967,0.095943816,1.0711381436666667,0.1117765154103379,1.0636998813333334,0.0742596195714151
S1540,Primary,N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2,95.69335,89.74739,1.095532179,0.1450841719999999,1.051590204,0.064129367,0.875175059,0.04902957,0.8780339359999999,0.033396885,0.963814974,0.069294795,1.219498038,0.1959097389999999,0.977129579,0.038732611,0.9781740706666668,0.0970482428372653,0.9689179063333334,0.0473573042391605
