depth,width,dropout,mlp,vmlp
2,512,0.3,0.0468826293945312,0.0413878162701924
2,32,0.4,0.0519834359486897,0.0294018586476643
2,64,0.4,0.0514066219329834,0.0481988390286763
2,128,0.4,0.0454307595888773,0.0548001527786254
2,256,0.4,0.0425835053126017,0.0507925152778625
2,512,0.4,0.0430074135462443,0.0459649761517842
2,32,0.5,0.0193136533101399,0.0258538921674092
2,64,0.5,0.050881544748942,0.0496811469395955
2,128,0.5,0.0468023022015889,0.0560156504313151
2,256,0.5,0.0609757304191589,0.0584121147791544
2,512,0.5,0.0481690168380737,0.0493590434392293
2,32,0.6,0.0554398298263549,-0.0024867256482442
2,64,0.6,0.0463919043540954,0.0427296757698059
2,128,0.6,0.0623981753985087,0.0578607122103373
2,256,0.6,0.0496121446291605,0.0625693003336588
2,512,0.6,0.0566830039024353,0.0569225549697876
2,32,0.7,0.0060596466064453,-0.0041775703430175
2,64,0.7,0.038224458694458,0.015072762966156
2,128,0.7,0.0572991768519083,0.0624024073282877
2,256,0.7,0.0533363421758016,0.0649916529655456
2,512,0.7,0.0556376775105794,0.0631882349650065
3,32,0.1,0.0472582578659057,0.0467637777328491
3,64,0.1,0.0450871189435323,0.042158822218577
3,128,0.1,0.0412713090578715,0.0334995786348978
3,256,0.1,0.0388494531313578,0.034599224726359
3,512,0.1,0.0394859910011291,0.0374518632888793
3,32,0.2,0.0270856420199076,0.0359662969907124
3,64,0.2,0.0373123288154602,0.0568391680717468
3,128,0.2,0.0296197930971781,0.0427679816881815
3,256,0.2,0.040712555249532,0.0422998666763305
3,512,0.2,0.0351799130439758,0.0487879713376363
3,32,0.3,0.0190903941790262,0.0387359062830607
3,64,0.3,0.0431849956512451,0.0534027616182963
3,128,0.3,0.0515464941660563,0.0449274182319641
3,256,0.3,0.0404015779495239,0.0471923549969991
3,512,0.3,0.0422644019126892,0.0428873300552368
3,32,0.4,0.0339234073956807,0.0097289681434631
3,64,0.4,0.0266773104667663,0.0550085504849751
3,128,0.4,0.0413129727045694,0.0555910468101501
3,256,0.4,0.0337735811869303,0.0485237042109171
3,512,0.4,0.0500999887784322,0.0473304589589436
3,32,0.5,0.0288275678952534,-0.0037790735562642
3,64,0.5,0.0538629094759623,0.0425137281417846
3,128,0.5,0.0369585553805033,0.0619576374689737
3,256,0.5,0.0540653864542643,0.0477274854977925
3,512,0.5,0.048991858959198,0.0479716261227925
3,32,0.6,0.0069985588391621,-0.0013797084490458
3,64,0.6,0.0567959547042846,0.0061769684155782
3,128,0.6,0.0398579835891723,0.0593130389849344
3,256,0.6,0.0646520853042602,0.0640363693237304
3,512,0.6,0.0504731734593709,0.0596200625101725
3,32,0.7,0.0029172301292419,-0.0006021658579508
3,64,0.7,0.0045075416564941,0.0053349534670511
3,128,0.7,0.0383142232894897,0.0343026916186014
3,256,0.7,0.0517545938491821,0.0562645395596822
3,512,0.7,0.054523487885793,0.0674543182055155
4,32,0.1,0.0238623619079589,0.0430203676223754
4,64,0.1,0.0328558484713236,0.0406414071718851
4,128,0.1,0.0393709739049275,0.039634625116984
4,256,0.1,0.0280409852663675,0.0433844526608785
4,512,0.1,0.0430937012036641,0.0461909969647725
4,32,0.2,0.018211821715037,0.034961462020874
4,64,0.2,0.0432970921198527,0.0470086534818013
4,128,0.2,0.0319205522537231,0.0479583342870076
4,256,0.2,0.0287623206774393,0.0428100625673929
4,512,0.2,0.0352454980214436,0.0411965648333231
4,32,0.3,0.0385669668515523,0.0107496579488118
4,64,0.3,0.0322962005933125,0.0518927971522013
4,128,0.3,0.0396151145299275,0.0589389602343241
4,256,0.3,0.0398611227671305,0.0487431685129801
4,512,0.3,0.0310143232345581,0.0460120439529418
4,32,0.4,0.0334406495094299,-0.0029570460319519
4,64,0.4,0.0428744951883951,0.0447553793589274
4,128,0.4,0.016141136487325,0.0535141030947367
4,256,0.4,0.0453073581059773,0.0465728441874186
4,512,0.4,0.0412152409553527,0.0469149549802144
4,32,0.5,0.0330048600832621,-0.0029127995173136
4,64,0.5,0.0326833128929138,0.0048862894376118
4,128,0.5,0.0312217473983764,0.0383887887001037
4,256,0.5,0.0476916829744974,0.0561848481496175
4,512,0.5,0.0393605629603068,0.0435822407404581
4,32,0.6,0.0049247145652771,-0.0011755625406901
4,64,0.6,0.0108101963996887,0.0048694809277852
4,128,0.6,0.063960572083791,0.0274603764216105
4,256,0.6,0.043555736541748,0.048061450322469
4,512,0.6,0.0284501512845357,0.0461554328600565
4,32,0.7,0.0023067394892374,-0.0006231665611267
4,64,0.7,0.0035562316576639,0.0032094120979309
4,128,0.7,0.0305761893590291,0.0069942275683085
4,256,0.7,0.0312711199124654,0.0357520778973897
4,512,0.7,0.02893728017807,0.0487040082613627
