depth,width,dropout,vmlp,mlp,difference
1,850,0.6,0.06263744831085205,0.08158630132675171,-0.018948853015899658
1,900,0.6,0.05737681686878204,0.08010335266590118,-0.02272653579711914
1,950,0.6,0.05971546471118927,0.08243897557258606,-0.02272351086139679
1,1000,0.6,0.05650636553764343,0.07706712186336517,-0.02056075632572174
1,550,0.7,0.04931962490081787,0.0635489672422409,-0.014229342341423035
1,600,0.7,0.05109220743179321,0.06954289972782135,-0.018450692296028137
1,650,0.7,0.051980823278427124,0.06908199191093445,-0.017101168632507324
1,750,0.7,0.055261820554733276,0.07506519556045532,-0.019803375005722046
1,800,0.7,0.05614565312862396,0.07134461402893066,-0.015198960900306702
1,850,0.7,0.05310715734958649,0.07749097049236298,-0.02438381314277649
1,900,0.7,0.06242534518241882,0.08047758042812347,-0.01805223524570465
1,950,0.7,0.05624331533908844,0.07871943712234497,-0.02247612178325653
1,1000,0.7,0.06027105450630188,0.07840274274349213,-0.018131688237190247
1,550,0.8,0.031379565596580505,0.04715144634246826,-0.015771880745887756
1,600,0.8,0.03194211423397064,0.046446576714515686,-0.014504462480545044
1,650,0.8,0.03831927478313446,0.04818728566169739,-0.009868010878562927
1,750,0.8,0.041189610958099365,0.05436794459819794,-0.013178333640098572
1,800,0.8,0.04343453049659729,0.05641065537929535,-0.012976124882698059
1,850,0.8,0.04374690353870392,0.06315818428993225,-0.019411280751228333
1,900,0.8,0.0473286509513855,0.05790190398693085,-0.010573253035545349
1,950,0.8,0.04950423538684845,0.0599859356880188,-0.010481700301170349
1,1000,0.8,0.04930047690868378,0.0627741813659668,-0.01347370445728302
2,550,0.1,0.049525752663612366,0.07822577655315399,-0.028700023889541626
2,600,0.1,0.05017156898975372,0.07521255314350128,-0.02504098415374756
2,650,0.1,0.047832101583480835,0.07525129616260529,-0.02741919457912445
2,750,0.1,0.04661479592323303,0.07472261786460876,-0.028107821941375732
2,800,0.1,0.04685358703136444,0.07801780104637146,-0.03116421401500702
2,850,0.1,0.048901334404945374,0.07514266669750214,-0.026241332292556763
2,900,0.1,0.04970124363899231,0.07229380309581757,-0.022592559456825256
2,950,0.1,0.048449188470840454,0.06933492422103882,-0.020885735750198364
