property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
0.0011681636656553085,-0.04762853557206381,0.0004129268387509377,-0.0031459270744673695,-0.005002931290287949,-0.0009759113034935041,0.0013266815756970418
-0.0009733305543697668,-0.005528735822347031,-0.001737033854566583,-0.011566543307017119,-0.0018108243479295627,-0.0012590265671938994,-0.0024897678873088136
-0.001008819251138382,-0.0018077417718855848,-0.012070792222153903,-0.046049806749206335,-0.01146131236754222,-0.004668409243399951,-0.010451344733484635
-0.012697649779786824,-0.001518248061538996,5.930599050518737e-06,0.002589048933702154,-0.0007541817298193365,-0.02213268362723042,-0.0024616712113543215
-0.0035684483216498197,-0.04614793343463841,-0.00575800751619604,4.771610269405091e-05,-0.0007601985900469455,-0.002638798776768647,-0.005641075743066271
-0.0029885389512740446,-0.0001508780134504839,0.0009304358542937541,-0.0003203747916562527,-0.0021471424674448514,-0.0053924724642782085,-0.005202351582149767
-0.011246728260461802,-0.0038030401608986075,-0.00045195035138201334,-0.005538741828307048,-0.012805505629330582,-0.025507300498870844,-0.0017867998057283785
-0.0028182342027449625,-0.0021048468921556207,-0.005656103639985144,-0.0021273020964245326,-0.0013021321706589983,-0.001407042144091708,-0.012713904793751007
-0.00013047434265267555,-0.010538517361341482,-0.0013447806977320287,-0.014066430896265691,-0.0062153921723853145,-0.03162948648677011,-0.004828905812581885
-5.487288546879299e-06,-0.013406159068927392,-0.0006612878045784143,-0.00016735959623037644,-0.000178765040107276,-0.0016228264891422484,-0.0007344402204603195
-0.023944757987399035,-0.003177771766036397,-0.00497423595223867,-0.007442620512003728,-0.0016454284782219109,-0.007941192342619807,-0.024336612736123975
-0.006664235359101545,-0.03307351103870615,-0.013555529781842601,-0.014650631613470022,-0.0021697809406950874,-0.003081597353642662,0.0020209863801927686
-0.00696891750773343,-0.00292264789010499,-0.027834152565721082,-0.003758011827334151,0.0031348599213566475,-0.004171968561452077,0.003993071189714814
-0.008836081604829182,-0.054261626616797454,-0.015549884711089756,-0.004384265189541825,-0.0008312793346390013,-0.0009813108872722687,-0.01920759336377942
-0.0011722619366436593,0.00023566388694640228,-0.02249338524020872,-0.015046292643220216,0.0016702931320128345,-0.010249739181916517,-0.001117197415310578
-0.00786230701368762,-0.018858972895459125,-0.004246674623247904,-0.02881319027125495,-0.020006697047122657,-0.018482300311992717,1.9299129026317807e-05
